timestamp,current_position,target_position,error,effort
1775638124702287336,0.1795,0.1800,0.0005,-97.5261
1775638124703961313,0.1795,0.1800,0.0005,-97.5261
1775638124705410899,0.1795,0.1800,0.0005,-97.5261
1775638124706760739,0.1795,0.1800,0.0005,-97.5261
1775638124708540301,0.1795,0.1800,0.0005,-97.5261
1775638124710100777,0.1795,0.1800,0.0005,-97.5261
1775638124711743927,0.1795,0.1800,0.0005,-97.5261
1775638124713216097,0.1795,0.1800,0.0005,-97.5261
1775638124714761233,0.1795,0.1800,0.0005,-97.5261
1775638124716553804,0.1795,0.1800,0.0005,-97.5261
1775638124718201694,0.1795,0.1800,0.0005,-97.5261
1775638124719950354,0.1795,0.1800,0.0005,-97.5261
1775638124721583631,0.1795,0.1800,0.0005,-97.5261
1775638124723145161,0.1795,0.1800,0.0005,-97.5261
1775638124724889631,0.1795,0.1800,0.0005,-97.5261
1775638124726461775,0.1795,0.1800,0.0005,-97.5261
1775638124728109743,0.1795,0.1800,0.0005,-97.5261
1775638124729711689,0.1795,0.1800,0.0005,-97.5261
1775638124731233553,0.1795,0.1800,0.0005,-97.5261
1775638124732709350,0.1795,0.1800,0.0005,-97.5261
1775638124734118456,0.1795,0.1800,0.0005,-97.5261
1775638124735794008,0.1795,0.1800,0.0005,-97.5261
1775638124737322269,0.1795,0.1800,0.0005,-97.5261
1775638124738800553,0.1795,0.1800,0.0005,-97.5261
1775638124740396958,0.1795,0.1800,0.0005,-97.5261
1775638124741976283,0.1795,0.1800,0.0005,-97.5261
1775638124743465461,0.1795,0.1800,0.0005,-97.5261
1775638124745101522,0.1795,0.1800,0.0005,-97.5261
1775638124747098286,0.1795,0.1800,0.0005,-97.5261
1775638124748654847,0.1795,0.1800,0.0005,-97.5261
1775638124750165318,0.1795,0.1800,0.0005,-97.5261
1775638124751807423,0.1795,0.1800,0.0005,-97.5261
1775638124753207141,0.1795,0.1800,0.0005,-97.5261
1775638124754731474,0.1795,0.1800,0.0005,-97.5261
1775638124756664797,0.1795,0.1800,0.0005,-97.5261
1775638124758332720,0.1795,0.1800,0.0005,-97.5261
1775638124759902135,0.1795,0.1800,0.0005,-97.5261
1775638124761852177,0.1795,0.1800,0.0005,-97.5261
1775638124763438261,0.1795,0.1800,0.0005,-97.5261
1775638124765002758,0.1795,0.1800,0.0005,-97.5261
1775638124766675415,0.1795,0.1800,0.0005,-97.5261
1775638124768448956,0.1795,0.1800,0.0005,-97.5261
